root_domain,nonprofit_score,signals
1947partitionarchive.org,3,"['donate', 'mission']"
412abilitytech.org,3,"['foundation', 'mission']"
aaa.org.hk,3,"['donate', 'mission']"
aafront.org,9,"['501(c)(3)', 'charity', 'donate']"
aaphc.org,1,['mission']
ablessing2nations.org,3,"['donate', 'mission']"
accrf.org,5,"['donate', 'foundation', 'mission']"
acofp.org,3,"['foundation', 'mission']"
adflegal.org,9,"['501(c)(3)', 'charity', 'donate']"
adrindia.org,3,"['donate', 'mission']"
adult-fanfiction.org,3,"['donate', 'mission']"
ae-info.org,1,['mission']
aegistrust.org,5,"['charity', 'donate', 'mission']"
aeranfoundation.org,2,['foundation']
africa-in-motion.org.uk,2,['donate']
agakhanhospitals.org,2,['foundation']
ahwendowment.org,3,['nonprofit']
aip.org,1,['mission']
airbarrier.org,3,"['foundation', 'mission']"
ajc.org,3,"['donate', 'mission']"
aksa-sds.org,1,['mission']
albanypinebush.org,3,"['donate', 'mission']"
allstonbrightoncdc.org,3,"['donate', 'mission']"
altervista.org,1,['mission']
ama-assn.org,1,['mission']
amfund.org,5,"['nonprofit', 'foundation']"
amissionofmercy.org,1,['mission']
ams.org,1,['mission']
anglican.org,5,"['charity', 'foundation', 'mission']"
annfammed.org,1,['mission']
apache.org,3,"['foundation', 'mission']"
apiqwtc.org,2,['donate']
appraisalinstitute.org,2,['foundation']
apr.org,3,"['donate', 'mission']"
archive.org,11,"['501(c)(3)', 'nonprofit', 'donate', 'mission']"
art-action.org,3,"['foundation', 'mission']"
artsfuse.org,3,"['donate', 'mission']"
artuk.org,6,"['charity', 'donate', 'foundation']"
arutla.org,7,"['charity', 'donate', 'foundation', 'mission']"
arxiv.org,5,"['donate', 'foundation', 'mission']"
ashdownforest.org,3,"['donate', 'mission']"
ashefrescoes.org,2,['foundation']
aspistrategist.org.au,1,['mission']
asrt.org,3,"['donate', 'mission']"
athletics.org.nz,1,['mission']
atr.org,2,['donate']
audiodharma.org,4,"['donate', 'foundation']"
authenticitytheater.org,2,['donate']
autism-all-stars.org,2,['charity']
autism.org.uk,5,"['charity', 'donate', 'mission']"
autograph.org.uk,7,"['charity', 'donate', 'foundation', 'mission']"
azpbs.org,6,"['nonprofit', 'foundation', 'mission']"
bahai-library.org,3,"['foundation', 'mission']"
bampfa.org,3,"['donate', 'mission']"
